# PERFORMANCE / EXPERIMENTAL DATASET
# Purpose: Algorithm performance testing (search, sort, DP, parallel, randomized)
# Format: ID|MovieTitle|Genre|Rating|Duration|Popularity
# Records: 1000

1|The Last Warrior|Action|6|80|50
2|Blood Ridge|Action|6.1|87|53
3|Iron Storm|Action|6.3|94|56
4|Thunder Strike|Action|6.4|101|59
5|Phantom Force|Action|6.6|108|62
6|Dark Pursuit|Action|6.7|115|65
7|Death Race Alpha|Action|6.8|122|68
8|Combat Zone|Action|7|129|71
9|War Front|Action|7.1|136|74
10|Silent Bullet|Action|7.2|143|77
11|Eagle Squad|Action|7.4|150|80
12|Night Raid|Action|7.5|157|83
13|Desert Storm|Action|7.7|164|86
14|Crimson Flag|Action|7.8|171|89
15|Steel Cross|Action|7.9|178|92
16|Rapid Fire|Action|8.1|185|95
17|Nuclear Dawn|Action|8.2|192|98
18|Battle Cry|Action|8.4|199|50
19|Zero Tolerance|Action|8.5|85|53
20|Operation Strike|Action|6|92|56
21|Ghost Protocol|Action|6.1|99|59
22|Delta Force Rising|Action|6.3|106|62
23|Iron Hammer|Action|6.4|113|65
24|Blade Runner X|Action|6.6|120|68
25|Rampage City|Action|6.7|127|71
26|Fortress Under Siege|Action|6.8|134|74
27|Thunder Road|Action|7|141|77
28|Black Site|Action|7.1|148|80
29|Warriors Code|Action|7.2|155|83
30|Blood Moon Rising|Action|7.4|162|86
31|The Punisher|Action|7.5|169|89
32|Death Angel|Action|7.7|176|92
33|Flame Striker|Action|7.8|183|95
34|Cold War Zero|Action|7.9|190|98
35|Hitman X|Action|8.1|197|50
36|Death Row Breakout|Action|8.2|83|53
37|Bullet Train Chaos|Action|8.4|90|56
38|Code Red|Action|8.5|97|59
39|Red Zone Alpha|Action|6|104|62
40|Operation Phoenix|Action|6.1|111|65
41|Marine Storm|Action|6.3|118|68
42|Battle Hardened|Action|6.4|125|71
43|Combat Extreme|Action|6.6|132|74
44|Final Showdown|Action|6.7|139|77
45|Desert Eagle|Action|6.8|146|80
46|Steel Battalion|Action|7|153|83
47|Maximum Impact|Action|7.1|160|86
48|Crisis Zone|Action|7.2|167|89
49|Unstoppable Force|Action|7.4|174|92
50|Razor Edge|Action|7.5|181|95
51|Speed Force|Action|7.7|188|98
52|Combat Mission|Action|7.8|195|50
53|Lethal Weapon Zero|Action|7.9|81|53
54|Alpha Strike|Action|8.1|88|56
55|Red Dawn Rising|Action|8.2|95|59
56|Metal Fury|Action|8.4|102|62
57|Night Hawk|Action|8.5|109|65
58|Steel Valor|Action|6|116|68
59|Thunder Wolf|Action|6.1|123|71
60|Rapid Assault|Action|6.3|130|74
61|Iron Titan|Action|6.4|137|77
62|Cold Steel|Action|6.6|144|80
63|Savage Hunt|Action|6.7|151|83
64|Stone Cold Warrior|Action|6.8|158|86
65|Digital Soldier|Action|7|165|89
66|Extreme Threat|Action|7.1|172|92
67|Dark Horizon Alpha|Action|7.2|179|95
68|Shadow Warrior Returns|Action|7.4|186|98
69|The Commando Legacy|Action|7.5|193|50
70|Combat Evolution|Action|7.7|200|53
71|Fire Strike|Action|7.8|86|56
72|Storm Breaker|Action|7.9|93|59
73|Delta Squad|Action|8.1|100|62
74|Battle Cry Zero|Action|8.2|107|65
75|Phantom Soldier|Action|8.4|114|68
76|War Zone X|Action|8.5|121|71
77|Blood Rush|Action|6|128|74
78|Iron Will|Action|6.1|135|77
79|Steel Phoenix|Action|6.3|142|80
80|Thunder Kings|Action|6.4|149|83
81|Combat Wave|Action|6.6|156|86
82|Ghost Warrior|Action|6.7|163|89
83|Digital War|Action|6.8|170|92
84|Neon Strike|Action|7|177|95
85|Cyber Hunter|Action|7.1|184|98
86|Urban Warrior|Action|7.2|191|50
87|Steel Shadow|Action|7.4|198|53
88|Night Force|Action|7.5|84|56
89|Rapid Command|Action|7.7|91|59
90|Black Knight Returns|Action|7.8|98|62
91|War Protocol|Action|7.9|105|65
92|Steel Titan|Action|8.1|112|68
93|Death Strike|Action|8.2|119|71
94|Alpha Wolf|Action|8.4|126|74
95|Combat Nation|Action|8.5|133|77
96|Iron Fortress|Action|6|140|80
97|Battle Protocol|Action|6.1|147|83
98|Steel Surge|Action|6.3|154|86
99|Shadow Strike|Action|6.4|161|89
100|Storm Protocol|Action|6.6|168|92
101|Quantum Leap|Sci-Fi|5.5|80|57
102|Star Patrol|Sci-Fi|5.7|87|60
103|Nebula Rising|Sci-Fi|5.9|94|63
104|Galactic Order|Sci-Fi|6|101|66
105|Space Odyssey Z|Sci-Fi|6.2|108|69
106|Cosmic Drift|Sci-Fi|6.4|115|72
107|Alien Contact|Sci-Fi|6.6|122|75
108|Stellar Force|Sci-Fi|6.8|129|78
109|Dark Matter X|Sci-Fi|7|136|81
110|Void Runners|Sci-Fi|7.2|143|84
111|Planet Exodus|Sci-Fi|7.3|150|87
112|Star Forge|Sci-Fi|7.5|157|90
113|Nebula Storm|Sci-Fi|7.7|164|93
114|Cosmic War|Sci-Fi|7.9|171|96
115|Space Raiders|Sci-Fi|8.1|178|99
116|Digital Universe|Sci-Fi|8.2|185|51
117|Cyber Nexus|Sci-Fi|8.4|192|54
118|The Singularity|Sci-Fi|8.6|199|57
119|Quantum Shift|Sci-Fi|8.8|85|60
120|Neural Code|Sci-Fi|5.5|92|63
121|Parallel Universe X|Sci-Fi|5.7|99|66
122|Time Fracture|Sci-Fi|5.9|106|69
123|Star System Alpha|Sci-Fi|6|113|72
124|Cosmic Horizon|Sci-Fi|6.2|120|75
125|Space Protocol|Sci-Fi|6.4|127|78
126|Stellar Mission|Sci-Fi|6.6|134|81
127|Galactic Storm|Sci-Fi|6.8|141|84
128|Dark Nebula|Sci-Fi|7|148|87
129|Void Patrol|Sci-Fi|7.2|155|90
130|Time Warp X|Sci-Fi|7.3|162|93
131|Cyber Frontier|Sci-Fi|7.5|169|96
132|Neural Network Z|Sci-Fi|7.7|176|99
133|Quantum Effect|Sci-Fi|7.9|183|51
134|Star Command|Sci-Fi|8.1|190|54
135|Space Force Alpha|Sci-Fi|8.2|197|57
136|Cosmic Raiders|Sci-Fi|8.4|83|60
137|Nebula War|Sci-Fi|8.6|90|63
138|Galaxy Drift|Sci-Fi|8.8|97|66
139|Time Jump|Sci-Fi|5.5|104|69
140|Star Fleet|Sci-Fi|5.7|111|72
141|Void Storm|Sci-Fi|5.9|118|75
142|Cosmic Engine|Sci-Fi|6|125|78
143|Dark Star Rising|Sci-Fi|6.2|132|81
144|Galactic Fleet|Sci-Fi|6.4|139|84
145|Space Invaders X|Sci-Fi|6.6|146|87
146|Stellar Protocol|Sci-Fi|6.8|153|90
147|Nebula Code|Sci-Fi|7|160|93
148|Time Paradox|Sci-Fi|7.2|167|96
149|Quantum Storm|Sci-Fi|7.3|174|99
150|Star Light|Sci-Fi|7.5|181|51
151|Cosmic Force|Sci-Fi|7.7|188|54
152|Dark Galaxy|Sci-Fi|7.9|195|57
153|Space Siege|Sci-Fi|8.1|81|60
154|Stellar War|Sci-Fi|8.2|88|63
155|Galactic Protocol|Sci-Fi|8.4|95|66
156|Time Horizon|Sci-Fi|8.6|102|69
157|Quantum Void|Sci-Fi|8.8|109|72
158|Star Chase|Sci-Fi|5.5|116|75
159|Nebula Force|Sci-Fi|5.7|123|78
160|Cosmic Raid|Sci-Fi|5.9|130|81
161|Space Nation|Sci-Fi|6|137|84
162|Stellar Drift|Sci-Fi|6.2|144|87
163|Dark Universe|Sci-Fi|6.4|151|90
164|Galaxy Protocol|Sci-Fi|6.6|158|93
165|Time Code|Sci-Fi|6.8|165|96
166|Quantum Force|Sci-Fi|7|172|99
167|Star Siege|Sci-Fi|7.2|179|51
168|Nebula Hunt|Sci-Fi|7.3|186|54
169|Cosmic Protocol|Sci-Fi|7.5|193|57
170|Space Warrior|Sci-Fi|7.7|200|60
171|Stellar Storm|Sci-Fi|7.9|86|63
172|Dark Force Rising|Sci-Fi|8.1|93|66
173|Galactic Siege|Sci-Fi|8.2|100|69
174|Time Warrior|Sci-Fi|8.4|107|72
175|Quantum Raiders|Sci-Fi|8.6|114|75
176|Star Nation|Sci-Fi|8.8|121|78
177|Nebula Protocol|Sci-Fi|5.5|128|81
178|Cosmic Warrior|Sci-Fi|5.7|135|84
179|Space Fleet|Sci-Fi|5.9|142|87
180|Stellar Code|Sci-Fi|6|149|90
181|Dark Horizon|Sci-Fi|6.2|156|93
182|Galaxy Force|Sci-Fi|6.4|163|96
183|Time Siege|Sci-Fi|6.6|170|99
184|Quantum Nation|Sci-Fi|6.8|177|51
185|Star Protocol|Sci-Fi|7|184|54
186|Nebula Drift|Sci-Fi|7.2|191|57
187|Cosmic Nation|Sci-Fi|7.3|198|60
188|Space Void|Sci-Fi|7.5|84|63
189|Stellar Horizon|Sci-Fi|7.7|91|66
190|Dark Protocol|Sci-Fi|7.9|98|69
191|Galaxy Storm|Sci-Fi|8.1|105|72
192|Time Force|Sci-Fi|8.2|112|75
193|Quantum Protocol|Sci-Fi|8.4|119|78
194|Star Drift|Sci-Fi|8.6|126|81
195|Nebula Nation|Sci-Fi|8.8|133|84
196|Cosmic Code|Sci-Fi|5.5|140|87
197|Space Protocol 2|Sci-Fi|5.7|147|90
198|Stellar Nation|Sci-Fi|5.9|154|93
199|Dark Drift|Sci-Fi|6|161|96
200|Galaxy Nation|Sci-Fi|6.2|168|99
201|A Hearts Journey|Drama|6.5|80|64
202|The Last Goodbye|Drama|6.6|87|67
203|Broken Wings|Drama|6.8|94|70
204|Silent Tears|Drama|6.9|101|73
205|Forgotten Dreams|Drama|7.1|108|76
206|The Price of Love|Drama|7.2|115|79
207|Empty Chairs|Drama|7.3|122|82
208|A Life Worth Living|Drama|7.5|129|85
209|The Long Road Home|Drama|7.6|136|88
210|Shattered Glass|Drama|7.8|143|91
211|Between Two Worlds|Drama|7.9|150|94
212|The Last Chapter|Drama|8|157|97
213|Home Again|Drama|8.2|164|100
214|A Perfect Storm|Drama|8.3|171|52
215|The Weight of Words|Drama|8.4|178|55
216|Pieces of Yesterday|Drama|8.6|185|58
217|After the Rain|Drama|8.7|192|61
218|A Place Called Hope|Drama|8.9|199|64
219|The Quiet Storm|Drama|9|85|67
220|Voices in the Wind|Drama|6.5|92|70
221|Crossroads|Drama|6.6|99|73
222|The Art of Letting Go|Drama|6.8|106|76
223|A Second Chance|Drama|6.9|113|79
224|Beyond Tomorrow|Drama|7.1|120|82
225|The Truth About Family|Drama|7.2|127|85
226|Fragile Bonds|Drama|7.3|134|88
227|Lost in Translation|Drama|7.5|141|91
228|Finding Balance|Drama|7.6|148|94
229|The Last Letter|Drama|7.8|155|97
230|A New Beginning|Drama|7.9|162|100
231|Unspoken Words|Drama|8|169|52
232|The Road Not Taken|Drama|8.2|176|55
233|Finding Home|Drama|8.3|183|58
234|The Quiet Life|Drama|8.4|190|61
235|A Simple Story|Drama|8.6|197|64
236|Beyond the Horizon|Drama|8.7|83|67
237|Lost and Found Again|Drama|8.9|90|70
238|The Old Man|Drama|9|97|73
239|A Different Kind of Love|Drama|6.5|104|76
240|When Stars Align|Drama|6.6|111|79
241|The Memory Keeper|Drama|6.8|118|82
242|Finding Purpose|Drama|6.9|125|85
243|A Perfect Life|Drama|7.1|132|88
244|The Long Goodbye|Drama|7.2|139|91
245|Between Hope and Fear|Drama|7.3|146|94
246|The Forgotten One|Drama|7.5|153|97
247|A Broken Promise|Drama|7.6|160|100
248|The Gift of Time|Drama|7.8|167|52
249|Finding Light|Drama|7.9|174|55
250|The Last Dance|Drama|8|181|58
251|When Love Arrives|Drama|8.2|188|61
252|A World Apart|Drama|8.3|195|64
253|The Silent Partner|Drama|8.4|81|67
254|Beyond Silence|Drama|8.6|88|70
255|A Different Hero|Drama|8.7|95|73
256|The Honest Truth|Drama|8.9|102|76
257|Lost in Silence|Drama|9|109|79
258|A Better Tomorrow|Drama|6.5|116|82
259|The Long Journey|Drama|6.6|123|85
260|Finding Peace|Drama|6.8|130|88
261|The Broken Road|Drama|6.9|137|91
262|When Hearts Heal|Drama|7.1|144|94
263|A Changed World|Drama|7.2|151|97
264|The Last Friend|Drama|7.3|158|100
265|Beyond Recovery|Drama|7.5|165|52
266|A Different Truth|Drama|7.6|172|55
267|The Quiet Hero|Drama|7.8|179|58
268|Lost in Love|Drama|7.9|186|61
269|A Better Day|Drama|8|193|64
270|The Long Wait|Drama|8.2|200|67
271|When We Were Young|Drama|8.3|86|70
272|A Chance Meeting|Drama|8.4|93|73
273|The Last Hope|Drama|8.6|100|76
274|Beyond the Past|Drama|8.7|107|79
275|A New Path|Drama|8.9|114|82
276|The Quiet Revolution|Drama|9|121|85
277|Finding Freedom|Drama|6.5|128|88
278|Lost in Time|Drama|6.6|135|91
279|A Better World|Drama|6.8|142|94
280|The Long Night|Drama|6.9|149|97
281|When Courage Fails|Drama|7.1|156|100
282|A Strange Gift|Drama|7.2|163|52
283|The Last Memory|Drama|7.3|170|55
284|Beyond the Wall|Drama|7.5|177|58
285|A New Life|Drama|7.6|184|61
286|The Quiet Storm 2|Drama|7.8|191|64
287|Finding Grace|Drama|7.9|198|67
288|Lost in Dreams|Drama|8|84|70
289|A Better Life|Drama|8.2|91|73
290|The Long Walk|Drama|8.3|98|76
291|When Everything Changes|Drama|8.4|105|79
292|A Perfect World|Drama|8.6|112|82
293|The Last Stand of Love|Drama|8.7|119|85
294|Beyond the Bridge|Drama|8.9|126|88
295|A New Day|Drama|9|133|91
296|The Quiet Life 2|Drama|6.5|140|94
297|Finding Strength|Drama|6.6|147|97
298|Lost in Hope|Drama|6.8|154|100
299|A Better Place|Drama|6.9|161|52
300|The Journey|Drama|7.1|168|55
301|Dark Secrets|Thriller|6|80|71
302|The Conspiracy|Thriller|6.2|87|74
303|Deadly Silence|Thriller|6.3|94|77
304|Hidden Agenda|Thriller|6.4|101|80
305|The Final Warning|Thriller|6.6|108|83
306|Shadow Protocol|Thriller|6.8|115|86
307|Dangerous Game|Thriller|6.9|122|89
308|The Last Clue|Thriller|7|129|92
309|Deadly Pursuit|Thriller|7.2|136|95
