# MovieFlix – Watch History Dataset
# Format: UserID|MovieID|WatchDate|WatchDuration|RatingGiven|Completed
# Records: 200

U001|3|2025-01-15|152|5|true
U001|5|2025-02-10|148|5|true
U001|7|2025-03-05|140|4|true
U001|15|2025-04-20|143|4|true
U001|84|2025-06-11|130|5|true
U001|98|2025-08-22|180|5|true
U001|100|2025-09-30|155|4|true
U002|29|2025-01-18|142|5|true
U002|30|2025-02-14|142|5|true
U002|56|2025-03-08|170|5|true
U002|57|2025-04-25|161|4|true
U002|81|2025-07-12|107|5|true
U002|95|2025-09-01|126|4|true
U003|36|2025-01-22|88|5|true
U003|39|2025-02-18|96|5|true
U003|40|2025-03-15|105|5|true
U003|56|2025-05-10|165|4|true
U003|59|2025-07-20|153|4|true
U003|73|2025-09-05|140|5|true
U004|4|2025-01-30|169|5|true
U004|5|2025-02-22|148|5|true
U004|6|2025-03-18|136|5|true
U004|24|2025-05-15|144|4|true
U004|26|2025-06-08|130|3|false
U004|90|2025-08-14|130|5|true
U004|91|2025-09-10|113|5|true
U005|41|2025-01-25|123|4|true
U005|42|2025-02-28|180|5|true
U005|43|2025-04-05|128|5|true
U005|45|2025-05-18|123|4|true
U005|62|2025-07-22|160|4|true
U005|73|2025-09-15|146|5|true
U006|3|2025-02-05|152|5|true
U006|9|2025-03-10|126|4|true
U006|46|2025-04-15|187|5|true
U006|47|2025-05-20|159|5|true
U006|49|2025-06-25|156|5|true
U006|50|2025-08-01|168|5|true
U006|51|2025-09-08|175|4|true
U007|30|2025-02-08|142|4|true
U007|57|2025-03-12|161|5|true
U007|58|2025-04-18|162|5|true
U007|62|2025-05-25|160|4|true
U007|65|2025-07-05|153|4|true
U007|73|2025-08-20|146|5|true
U008|1|2025-02-12|180|4|true
U008|15|2025-03-20|143|4|true
U008|46|2025-04-22|185|5|true
U008|83|2025-05-28|101|4|true
U008|84|2025-06-30|130|5|true
U008|86|2025-08-05|147|4|true
U008|87|2025-09-12|155|5|true
U009|36|2025-02-16|88|5|true
U009|39|2025-03-25|96|4|true
U009|40|2025-04-28|105|5|true
U009|59|2025-06-05|148|4|true
U009|62|2025-07-15|155|3|false
U009|73|2025-09-18|146|4|true
U010|6|2025-02-20|136|5|true
U010|14|2025-03-28|143|3|false
U010|24|2025-04-30|144|4|true
U010|33|2025-06-10|118|5|true
U010|34|2025-07-18|139|5|true
U010|35|2025-09-02|132|4|true
U010|90|2025-09-20|130|5|true
U011|20|2025-03-02|120|3|false
U011|30|2025-04-08|142|5|true
U011|56|2025-05-14|170|5|true
U011|57|2025-06-20|161|4|true
U011|60|2025-07-28|180|4|true
U011|65|2025-09-10|153|4|true
U012|1|2025-03-06|181|5|true
U012|3|2025-04-12|152|5|true
U012|5|2025-05-18|148|5|true
U012|14|2025-06-24|143|3|false
U012|46|2025-07-30|185|5|true
U012|50|2025-08-25|168|5|true
U012|84|2025-09-22|130|5|true
U013|41|2025-03-10|120|4|true
U013|42|2025-04-16|190|5|true
U013|43|2025-05-22|128|5|true
U013|57|2025-06-28|160|4|true
U013|65|2025-07-25|150|3|false
U013|73|2025-09-14|146|5|true
U014|15|2025-03-14|143|4|true
U014|46|2025-04-20|180|5|true
U014|83|2025-05-26|101|4|true
U014|84|2025-07-02|130|5|true
U014|87|2025-08-08|155|5|true
U014|88|2025-09-16|175|4|true
U015|36|2025-03-18|88|5|true
U015|39|2025-04-24|96|5|true
U015|56|2025-05-30|165|4|true
U015|59|2025-07-06|148|4|true
U015|60|2025-08-12|178|4|true
U015|65|2025-09-20|150|4|true
U016|3|2025-03-22|150|5|true
U016|9|2025-04-28|126|4|true
U016|46|2025-06-03|187|5|true
U016|47|2025-07-09|159|5|true
U016|50|2025-08-15|165|5|true
U016|62|2025-09-08|160|4|true
U016|75|2025-09-25|310|4|true
U017|41|2025-04-02|123|4|true
U017|42|2025-05-08|185|5|true
U017|43|2025-06-14|128|5|true
U017|45|2025-07-20|123|4|true
U017|73|2025-08-26|146|4|true
U017|95|2025-09-22|126|5|true
U018|30|2025-04-06|142|4|true
U018|57|2025-05-12|161|5|true
U018|62|2025-06-18|160|4|true
U018|63|2025-07-24|139|5|true
U018|64|2025-08-30|130|4|true
U018|71|2025-09-26|104|5|true
U019|4|2025-04-10|169|5|true
U019|5|2025-05-16|148|5|true
U019|6|2025-06-22|136|5|true
U019|13|2025-07-28|124|3|false
U019|24|2025-09-03|144|4|true
U019|55|2025-09-28|181|5|true
U019|100|2026-01-05|155|4|true
U020|3|2025-04-14|152|4|true
U020|57|2025-05-20|161|4|true
U020|65|2025-06-26|150|4|true
U020|66|2025-07-28|165|3|false
U020|67|2025-08-20|140|2|false
U020|69|2025-09-15|138|5|true
U020|70|2025-09-30|155|4|true
U021|30|2025-04-18|142|4|true
U021|41|2025-05-24|120|5|true
U021|57|2025-06-30|161|5|true
U021|65|2025-07-28|150|3|false
U021|73|2025-08-24|146|5|true
U021|74|2025-09-30|109|4|true
U022|3|2025-04-22|152|5|true
U022|9|2025-05-28|126|4|true
U022|33|2025-07-04|118|5|true
U022|34|2025-08-10|135|4|true
U022|63|2025-09-08|139|5|true
U022|84|2026-01-10|130|4|true
U022|90|2026-02-15|130|5|true
U023|36|2025-04-26|88|5|true
U023|39|2025-06-02|96|4|true
U023|59|2025-07-08|148|4|true
U023|60|2025-08-14|178|4|true
U023|62|2025-09-12|155|3|false
U023|73|2026-01-18|146|5|true
U024|1|2025-04-30|180|5|true
U024|3|2025-06-06|152|5|true
U024|5|2025-07-12|148|5|true
U024|14|2025-08-18|138|3|false
U024|24|2025-09-16|144|4|true
U024|84|2026-01-22|130|5|true
U024|98|2026-03-10|178|5|true
U025|22|2025-05-04|122|5|true
U025|29|2025-06-10|142|5|true
U025|30|2025-07-16|142|4|true
U025|57|2025-08-22|161|4|true
U025|62|2025-09-20|160|4|true
U025|63|2026-01-26|139|5|true
U025|75|2026-03-14|310|4|true
U026|41|2025-05-08|123|4|true
U026|42|2025-06-14|185|5|true
U026|43|2025-07-20|128|5|true
U026|60|2025-08-26|178|3|false
U026|65|2025-09-24|150|4|true
U026|73|2026-01-30|146|5|true
U027|3|2025-05-12|152|5|true
U027|46|2025-06-18|185|5|true
